#ID;#Singer;#Song;#Year;#Language
102167;Stereoact;Die Immer Lacht;2015;Deutsch
102168;Stereoact;Ibiza;2021;Deutsch
102169;Stereoact;Ich liebe das leben (remix);2021;Deutsch
102170;Stereoact;Nicht allein sein;2019;Deutsch
102171;Stereoact;Nummer Eins;2016;Deutsch
102172;Stereoact;So soll es bleiben;2017;Deutsch
102173;Stereoact;Tausendmal beruehrt 1000 Mal ist nichts passiert;2021;Deutsch
102174;Stereoact;Terra Titanic;2018;Deutsch
102175;Stereoact;Wunschkonzert;2018;Deutsch
102176;STS;Das feuer;1990;Deutsch
102177;STS;Fuerstenfeld;1984;Deutsch
102178;STS;Goe, du bleibst heut nacht bei mir;1985;Deutsch
102179;STS;Grossvater;1985;Deutsch
102180;STS;Irgendwann bleib i dann dort;1985;Deutsch
102181;STS;Kalt und kaelter;1985;Deutsch
102182;STS;Mach die Augen zu;1975;Deutsch
102183;Stuermer, Christina;Ein Teil von mir;2016;Deutsch
102184;Stuermer, Christina;Engel fliegen einsam;2005;Deutsch
102185;Stuermer, Christina;Ich hoer auf mein Herz;2013;Deutsch
102186;Stuermer, Christina;Ich Lebe;2003;Deutsch
102187;Stuermer, Christina;In ein paar Jahren;2018;Deutsch
102188;Stuermer, Christina;Juniherz;2010;Deutsch
102189;Stuermer, Christina;Mama Ana Ahabak;2007;Deutsch
102190;Stuermer, Christina;Millionen lichter;2013;Deutsch
102191;Stuermer, Christina;Mitten Unterm Jahr;2006;Deutsch
102192;Stuermer, Christina;Nie genug;2006;Deutsch
102193;Stuermer, Christina;Ohne dich;2006;Deutsch
102194;Stuermer, Christina;Seite an Seite;2016;Deutsch
102195;Stuermer, Christina;Was wirklich bleibt;2015;Deutsch
102196;Stuermer, Christina;Wir leben den Moment;2010;Deutsch
102197;t Vrije Schaep;Duitse Medley;2009;Deutsch
102198;Tangled;Endlich sehe ich das Licht;2010;Deutsch
102199;Tangled;Wann Faengt Mein Leben An?;2010;Deutsch
102200;Tanz der Vampire;Der Tanz Der Vampire (Finale Zweiter Akt);1997;Deutsch
102201;Tanz der Vampire;Die Unstillbare Gier;1997;Deutsch
102202;Tanz der Vampire;Draussen Ist Freiheit;1997;Deutsch
102203;Tanz der Vampire;Tot zu sein ist komisch;1997;Deutsch
102204;Tanz der Vampire;Totale Finsternis;1997;Deutsch
102205;Tarzan (1999 film);Fremde wie ich;1999;Deutsch
102206;Tarzan (musical);Dir gehoert mein Herz;2006;Deutsch
102207;Tawil, Adel;DNA;2019;Deutsch
102208;Tawil, Adel;Ist da jemand;2018;Deutsch
102209;Tawil, Adel;Lieder;2013;Deutsch
102210;Tawil, Adel;Unsere Lieder;2015;Deutsch
102211;Tawil, Adel;Weinen;2014;Deutsch
102212;Tawil, Adel;Zuhause;2014;Deutsch
102213;Tay Schmedtmann;Lauf Baby Lauf;2016;Deutsch
102214;Taylor, C J;Wunderschoen;2011;Deutsch
102215;Ted Herold;Moonlight;1960;Deutsch
102216;The Baseballs;Rock Me Amadeus;2021;Deutsch
102217;The Jungle Book (1967 film);Probiers mal mit Gemuetlichkeit;1967;Deutsch
102218;The Lion King (1994 film);Der ewige Kreis;2001;Deutsch
102219;The Lion King (1994 film);Hakuna Matata (Deutsche Version);1994;Deutsch
102220;The Lion King (2019 film);Der ewige Kreis / Nants Ingonyama;2019;Deutsch
102221;The Lion King (2019 film);Ich will jetzt gleich Koenig sein;2019;Deutsch
102222;The Lion King (2019 film);Kann es wirklich Liebe sein;2019;Deutsch
102223;The Lion King (musical);Er lebt in dir;2001;Deutsch
102224;The Lion King (musical);Schattenland;1997;Deutsch
102225;The Lion King 2;Liebe triumphiert;1998;Deutsch
102226;The Little Mermaid (1989 film);Unter dem Meer;1989;Deutsch
102227;The Little Mermaid (2023 film);Die armen Seelen in Not;2023;Deutsch
102228;The Little Mermaid (2023 film);Es fuehlt sich neu an;2023;Deutsch
102229;The Little Mermaid (2023 film);Im Herzen der tiefblauen See;2023;Deutsch
102230;The Little Mermaid (2023 film);In deiner Welt;2023;Deutsch
102231;The Little Mermaid (2023 film);In deiner Welt (Reprise II);2023;Deutsch
102232;The Little Mermaid (2023 film);In deiner Welt (Reprise);2023;Deutsch
102233;The Little Mermaid (2023 film);Klatsch und Tratsch;2023;Deutsch
102234;The Little Mermaid (2023 film);Nur ein Kuss;2023;Deutsch
102235;The Little Mermaid (2023 film);Unbekannte Fluten;2023;Deutsch
102236;The Little Mermaid (2023 film);Unten im Meer;2023;Deutsch
102237;The Lollies;Wahnsinn (Hoelle, Hoelle, Hoelle);2005;Deutsch
102238;The Pink Panther;Der rosarote Panther;1963;Deutsch
102239;The Producers;Der Guten Tag Hop-Clop;2001;Deutsch
102240;Tic Tac Toe;Ich find dich scheisse;1996;Deutsch
102241;Tina York;Wir lassen uns das Singen nicht verbieten;1974;Deutsch
102242;Tobee;Helikopter 117 (mach den Hub Hub Hub);2018;Deutsch
102243;Tobee;Jetzt ist der Teufel los;2015;Deutsch
102244;Tobee;Lotusblume;2007;Deutsch
102245;Tobee;Saufi Saufi;2019;Deutsch
102246;Tobee;Tausendmal du;2010;Deutsch
102247;Tokio Hotel;Spring Nicht;2007;Deutsch
102248;Ton, Tommy;Fuer Gabi tu ich alles;2008;Deutsch
102249;Torfrock;Beinhart;1990;Deutsch
102250;Torriani, Vico;Kalkutta liegt am ganges;1960;Deutsch
102251;Toten Hosen;Alles Aus Liebe;1993;Deutsch
102252;Toten Hosen;Alles passiert;2017;Deutsch
102253;Toten Hosen;Altes Fieber;2012;Deutsch
102254;Toten Hosen;Bayern;2000;Deutsch
102255;Toten Hosen;Bis zum bitteren Ende;1983;Deutsch
102256;Toten Hosen;Bonnie und Clyde;1996;Deutsch
102257;Toten Hosen;Das ist der Moment;2013;Deutsch
102258;Toten Hosen;Draussen vor der tuer;2012;Deutsch
102259;Toten Hosen;Feiern im Regen;2019;Deutsch
102260;Toten Hosen;Hier kommt Alex;1988;Deutsch
102261;Toten Hosen;Im wagen vor mir;1987;Deutsch
102262;Toten Hosen;Nur zu Besuch;2002;Deutsch
102263;Toten Hosen;Sascha ein aufrechter Deutscher;1992;Deutsch
102264;Toten Hosen;Tage wie diese;2012;Deutsch
102265;Toten Hosen;Unter den Wolken;2017;Deutsch
102266;Toten Hosen;Wannsee;2017;Deutsch
102267;Toten Hosen;Wort zum Sonntag;1986;Deutsch
102268;Toten Hosen;Zehn Kleine Jaegermeister;1996;Deutsch
102269;Toupet, Tim;Bobfahrerlied;2010;Deutsch
102270;Toupet, Tim;Eine neue Leber ist wie ein neues Leben;2004;Deutsch
102271;Toupet, Tim;Humba taeterae;2006;Deutsch
102272;Toupet, Tim;So ein schoener Tag (Fliegerlied);2008;Deutsch
102273;Trailerpark;Bleib in der Schule;2014;Deutsch
102274;Trenkwalder;Halli, Hallo, die Raeuber;2010;Deutsch
102275;Trio;Anna, Lassmichrein Lassmichraus;1982;Deutsch
102276;Trio;Da Da Da;1982;Deutsch
102277;Trio;Herz ist Trumpf;1983;Deutsch
102278;Trio;Turaluraluralu;1983;Deutsch
102279;Troglauer Buam;7000 Rinder;2008;Deutsch
102280;Trolls;Regenbogen;2016;Deutsch
102281;Truck Stop;Arizona Arizona;2009;Deutsch
102282;Truck Stop;Der wilde wilde Western;1980;Deutsch
102283;Truck Stop;Easy Rider;1981;Deutsch
102284;Truck Stop;Happy Birthday;1996;Deutsch
102285;Truck Stop;Hillybilly Country Lilly;1983;Deutsch
102286;Truck Stop;Ich moecht so gern Dave Dudley hoern;1978;Deutsch
102287;Truck Stop;Lass Die Maedels Wissen;1981;Deutsch
102288;Truck Stop;Mein Opa, das bin ich;1982;Deutsch
102289;Truck Stop;Mein zuhaus;2020;Deutsch
102290;Truck Stop;Old Texas Town, die Westernstadt;1980;Deutsch
102291;Truck Stop;Take it Easy, altes Haus;1979;Deutsch
102292;Truck Stop;Wien schoenen Country Song;2021;Deutsch
102293;Trude Herr;Ich will keine schokolade;1960;Deutsch
102294;Trude Herr;Niemals geht man so ganz;1987;Deutsch
102295;Trude Herr;Weil ich so sexy bin;1961;Deutsch
102296;Turbobier;VHS;2019;Deutsch
102297;Unheilig;Als waers das erste Mal;2014;Deutsch
102298;Unheilig;An deiner Seite;2008;Deutsch
102299;Unheilig;Fuer immer;2010;Deutsch
102300;Unheilig;Geboren um zu leben;2010;Deutsch
102301;Unheilig;Grosse freiheit;2010;Deutsch
102302;Unheilig;Lichter der Stadt;2012;Deutsch
102303;Unheilig;So wie du warst;2012;Deutsch
102304;Unheilig;Unter deiner flagge;2010;Deutsch
102305;Unheilig;Winter;2010;Deutsch
102306;Unheilig;Zeit zu gehen;2014;Deutsch
102307;Unter Uns;Chillen mit dir;2020;Deutsch
102308;Vader Abraham;Das Lied der Schluempfe;1977;Deutsch
102309;Valaitis, Lena;Ein Schoener Tag;1976;Deutsch
102310;Valaitis, Lena;Johnny Blue;1981;Deutsch
102311;Valente, Caterina;Ganz Paris traeumt von der Liebe;1954;Deutsch
102312;Valente, Caterina;Manuel;1978;Deutsch
102313;Valente, Caterina;Spiel Noch Einmal Fuer Mich, Habanero;1958;Deutsch
102314;Valente, Caterina;Steig in das Traumboot der Liebe;1956;Deutsch
102315;Valente, Caterina;Wo meine sonne scheint;1957;Deutsch
102316;Valentino, Matty;Hurra die Gams;2018;Deutsch
102317;Varell, Isabel;Nur nicht aus liebe weinen;1999;Deutsch
102318;Versengold;Haut mir kein Stein;2017;Deutsch
102319;Versengold;Hey Hanna;2022;Deutsch
102320;Versengold;Thekenmaedchen;2019;Deutsch
102321;Vikinger;Blue Hawaii;2000;Deutsch
102322;Vikinger;Kuschel dich in meine arme;2000;Deutsch
102323;Vikinger;Tanz mit mir;2001;Deutsch
102324;Vincent Gross;ueber uns die Sonne;2020;Deutsch
102325;von der Lippe, Juergen;Dann ist der Wurm drin;1987;Deutsch
102326;von der Lippe, Juergen;Guten Morgen, liebe Sorgen;1991;Deutsch
102327;Von Goisern, Hubert;Brenna tuats guat;2011;Deutsch
102328;Von Goisern, Hubert;Heast as nit;1999;Deutsch
102329;Von Goisern, Hubert;Koa Hiatamadl;1992;Deutsch
102330;Von Goisern, Hubert;Weit, weit weg;1992;Deutsch
102331;von Koczian, Johanna;Das bisschen Haushalt  Sagt mein Mann;1977;Deutsch
102332;Voskania, Maria;Ich seh nur Dich;2017;Deutsch
102333;VoXXclub;500 Meilen;2019;Deutsch
102334;VoXXclub;Anneliese;2019;Deutsch
102335;VoXXclub;Donnawedda;2017;Deutsch
102336;VoXXclub;I mog Di so;2018;Deutsch
102337;VoXXclub;Rock mi;2013;Deutsch
102338;VoXXclub;Ziwui Ziwui;2014;Deutsch
102339;W, Roland;Monja;1967;Deutsch
102340;Wackel, Peter;Alt wie ein Baum;2012;Deutsch
102341;Wackel, Peter;Bussi Bussi (Bitte Bitte);2014;Deutsch
102342;Wackel, Peter;Die Nacht von Freitag auf Montag;2015;Deutsch
102343;Wackel, Peter;Erika (komm mit mir nach Amerika);2013;Deutsch
102344;Wackel, Peter;Eviva Espana;2009;Deutsch
102345;Wackel, Peter;Joana;2002;Deutsch
102346;Wackel, Peter;Kenn Nicht Deinen Namen Scheissegal (Besoffen);2009;Deutsch
102347;Wackel, Peter;Ladioo;2006;Deutsch
102348;Wackel, Peter;Manchmal moechte ich schon mit dir;2008;Deutsch
102349;Wackel, Peter;Scheiss drauf!;2013;Deutsch
102350;Wackel, Peter;Schwarze Natascha;2008;Deutsch
102351;Wackel, Peter;So schmeckt der sommer;2003;Deutsch
102352;Wader, Hannes;Heute hier, morgen dort;1972;Deutsch
102353;Waggershausen, Stefan;Das erste Mal tats noch weh;1990;Deutsch
102354;Waggershausen, Stefan;Es geht mir gut;1981;Deutsch
102355;Waggershausen, Stefan;Hallo Engel;1980;Deutsch
102356;Waggershausen, Stefan;Zu nah am Feuer;2004;Deutsch
102357;Walter, Karsten;Komm naeher (Rhythm of the Night);2021;Deutsch
102358;Wanda;Bussi Baby;2015;Deutsch
102359;Wecker, Konstantin;So a Saudummer Tag;1981;Deutsch
102360;Wegener, Marie;Koeniglich;2018;Deutsch
102361;Wegner, Bettina;Kinder (Sind so kleine Haende);1979;Deutsch
102362;Weiss, Wincent;An Wunder;2018;Deutsch
102363;Weiss, Wincent;Ein Jahr;2017;Deutsch
102364;Weiss, Wincent;Feuerwerk;2017;Deutsch
102365;Weiss, Wincent;Frische Luft;2017;Deutsch
102366;Weiss, Wincent;Hier mit dir;2018;Deutsch
102367;Weiss, Wincent;Ich tanze leise;2017;Deutsch
102368;Weiss, Wincent;Kaum erwarten;2019;Deutsch
102369;Weiss, Wincent;Musik sein;2016;Deutsch
102370;Weiss, Wincent;Nur ein Herzschlag entfernt;2017;Deutsch
102371;Weiss, Wincent;Regenbogen;2016;Deutsch
102372;Weiss, Wincent;Wenn mir die Worte fehlen;2017;Deutsch
102373;Weiss, Wincent;Wer wenn nicht wir;2021;Deutsch
102374;Wendehals, Gottlieb;Alles hat ein Ende nur die Wurst hat zwei;2000;Deutsch
102375;Wendehals, Gottlieb;Polonaese Blankenese;1981;Deutsch
102376;Wendland, Gerhard;Tanze mit mir in den Morgen;1961;Deutsch
102377;Wendler, Michael;180 Grad;2005;Deutsch
102378;Wendler, Michael;Egal;2017;Deutsch
102379;Wendler, Michael;Nina;2008;Deutsch
102380;Wendler, Michael;Sie Liebt Den DJ;2004;Deutsch
102381;Wendler, Michael;Sie liebt ihn immer noch;2011;Deutsch
102382;Wendler, Michael;Unser Zelt auf Westerland;2014;Deutsch
102383;Wendler, Michael;Was waere wenn;2012;Deutsch
102384;Wendler, Michael;Wenn alle stricke reissen;2005;Deutsch
102385;Wendler, Michael;Wer weiss warum;2010;Deutsch
102386;Werding, Juliane;Am Tag, als Conny Kramer starb;1972;Deutsch
102387;Werding, Juliane;Das Wuerfelspiel;1986;Deutsch
102388;Werding, Juliane;Drei Jahre Lang;1984;Deutsch
102389;Werding, Juliane;Geh nicht in die stadt (heut Nacht);1984;Deutsch
102390;Werding, Juliane;Nacht Voll Schatten;1983;Deutsch
102391;Werding, Juliane;Sag mir wo die Blumen sind;1973;Deutsch
102392;Werding, Juliane;Sehnsucht Ist Unheilbar;1986;Deutsch
102393;Werding, Juliane;Starke Gefuehle;1988;Deutsch
102394;Werding, Juliane;Stimmen Im Wind;1986;Deutsch
102395;Werding, Juliane;Stimmen Im Wind (Version 2009);2009;Deutsch
102396;Werding, Juliane;Wenn du denkst du denkst…;1975;Deutsch
102397;Werner, Margot;So ein Mann;1976;Deutsch
102398;Werner, Pe;Kribbeln Im Bauch;1991;Deutsch
102399;Werner, Pe;Trostpflastersteine;1992;Deutsch
102400;Western Union;Ich moechte so gerne mal nach Nashville;1982;Deutsch
102401;Whittaker, Roger;Abschied ist ein scharfes Schwert;1983;Deutsch
102402;Whittaker, Roger;Albany (Deutsche version);1982;Deutsch
102403;Whittaker, Roger;Du wirst alle Jahre schoener;1992;Deutsch
102404;Whittaker, Roger;Ein bisschen Aroma;1986;Deutsch
102405;Whittaker, Roger;Ein bisschen aroma (Stereoact remix);2023;Deutsch
102406;Whittaker, Roger;Eloisa;1984;Deutsch
102407;Whittaker, Roger;Ich denk oft an Mary;1985;Deutsch
102408;Whittaker, Roger;Leben mit dir;1985;Deutsch
102409;Whittaker, Roger;Tanz heut Nacht mit mir;1982;Deutsch
102410;Whittaker, Roger;Wenn es dich noch gibt;1983;Deutsch
102411;Whittaker, Roger;Wir sind jung (Oh Maria);1995;Deutsch
102412;Wichtig, Werner;Pump ab das Bier;1998;Deutsch
102413;Wicked (musical);Frei und Schwerelos;2003;Deutsch
102414;Wicked und Bonny;Ich bin wie ich bin;2016;Deutsch
102415;Wilde, Laura;Wo hast du denn kuessen gelernt;2011;Deutsch
102416;Wildecker Herzbuben;Die Fischerin vom Bodensee (Party Single Mix);2012;Deutsch
102417;Wildecker Herzbuben;Hallo, Frau Nachbarin;1990;Deutsch
102418;Wildecker Herzbuben;Herzilein;1989;Deutsch
102419;Wind;Fuer alle;1985;Deutsch
102420;Wind;Lass die sonne in dein herz;1987;Deutsch
102421;Winter, Michael;Sonne in der Nacht;2020;Deutsch
102422;Wir Sind Helden;Aurelie;2003;Deutsch
102423;Wir Sind Helden;Denkmal;2004;Deutsch
102424;Wir Sind Helden;Guten Tag;2002;Deutsch
102425;Wir Sind Helden;Nur ein Wort;2005;Deutsch
102426;Wirtz, Daniel;Keine Angst;2008;Deutsch
102427;Witt, Joachim;Der Goldener Reiter;1981;Deutsch
102428;Witt, Joachim;Die Flut;1998;Deutsch
102429;Witt, Joachim;Kosmetik;1981;Deutsch
102430;Woitschack, Anna-Carina;Stark wie zwei;2019;Deutsch
102431;Wolff, Chris;Am Strand von Maspalomas;1988;Deutsch
102432;Wolff, Chris;Palma de mallorca;1987;Deutsch
102433;Wolfsheim;Kein Zurueck;2003;Deutsch
102434;Wolkenfrei;Der Zaubertrank ist leer;2014;Deutsch
102435;Wolkenfrei;Du bist meine Insel;2014;Deutsch
102436;Wolkenfrei;Ich versprech dir nichts und geb dir alles;2013;Deutsch
102437;Wolkenfrei;In all deinen Farben;2015;Deutsch
102438;Wolkenfrei;Jeans T-Shirt Und Freiheit;2013;Deutsch
102439;Wolkenfrei;Mein Herz schlaegt Schlager;2015;Deutsch
102440;Wolkenfrei;Sommerliebe;2015;Deutsch
102441;Wolkenfrei;Uns gehoert die Welt;2023;Deutsch
102442;Wolkenfrei;Von Tokio bis Amerika;2015;Deutsch
102443;Wolkenfrei;Wachgekuesst;2015;Deutsch
102444;Wolkenfrei;Wolke 7;2015;Deutsch
102445;Wurst, Conchita;Heast as net;2017;Deutsch
102446;Zander, Frank;Hier Kommt Kurt;1989;Deutsch
102447;Zander, Frank;Oh, Susi (Der zensierte song);1976;Deutsch
102448;Zarrella, Giovanni;Senza Te (Ohne dich);2019;Deutsch
102449;Zelter, Jonathan;Ein Teil von meinem Herzen;2016;Deutsch
102450;Zelter, Jonathan;Ein Teil von meinem Herzen (Wedding Edition 2017);2016;Deutsch
102451;Zelter, Jonathan;Sei immer du selbst;2016;Deutsch
102452;Zieger, Petra;Katzen bei Nacht;1986;Deutsch
102453;Ziegler, Wolfgang;Verdammt!;1988;Deutsch
102454;Zillertaler Haderlumpen;1, 2 oder 3000 Jahre;2008;Deutsch
102455;Zimmermann, Anna-Maria;1, 2, 3, 4: Heute Nacht da feiern wir!;2018;Deutsch
102456;Zimmermann, Anna-Maria;1000 Traeume weit;2009;Deutsch
102457;Zimmermann, Anna-Maria;1000 Traeume weit (Version 2020);2020;Deutsch
102458;Zimmermann, Anna-Maria;100000 leuchtende Sterne;2011;Deutsch
102459;Zimmermann, Anna-Maria;7 Wolken;2010;Deutsch
102460;Zimmermann, Anna-Maria;Amore Mio;2013;Deutsch
102461;Zimmermann, Anna-Maria;Die Tanzflaeche brennt;2014;Deutsch
102462;Zimmermann, Anna-Maria;Du hast mir so den Kopf verdreht;2015;Deutsch
102463;Zimmermann, Anna-Maria;Himmelblaue Augen;2017;Deutsch
102464;Zimmermann, Anna-Maria;Lust am Leben;2009;Deutsch
102465;Zimmermann, Anna-Maria;Nur noch einmal schlafen;2014;Deutsch
102466;Zimmermann, Anna-Maria;Scheiss egal;2018;Deutsch
102467;Zimmermann, Anna-Maria;Tanz;2013;Deutsch
102468;Zimmermann, Anna-Maria;Tinte (Wo willst du hin);2017;Deutsch
102469;Zimmermann, Anna-Maria;Wer ist dieser DJ?;2008;Deutsch
102470;Zimmermann, Anna-Maria;Zusammen sind wir eins;2023;Deutsch
102471;Zipfelbuben;Der teufel und der junge mann;2006;Deutsch
102472;Zipfelbuben;Olivia;2022;Deutsch
102473;Zucker, Ben;Der Sonne entgegen;2018;Deutsch
102474;Zucker, Ben;Du hast mich um;2019;Deutsch
102475;Zucker, Ben;Guten morgen welt;2021;Deutsch
102476;Zucker, Ben;Ich weine nicht um dich;2021;Deutsch
102477;Zucker, Ben;Na und!?;2017;Deutsch
102478;Zucker, Ben;Was fuer eine geile Zeit;2017;Deutsch
102479;Zucker, Ben;Wer sagt das?!;2019;Deutsch
102480;Zucker, Sarah;Perfekt;2020;Deutsch
102481;Zuckowski, Rolf;Auf der Suche nach Weihnachten;1987;Deutsch
102482;Zuckowski, Rolf;Dezembertraeume;1993;Deutsch
102483;Zuckowski, Rolf;In der Weihnachtsbaeckerei;1987;Deutsch
102484;Zuckowski, Rolf;Stups, der kleine Osterhase;1990;Deutsch
102485;Zuckowski, Rolf;Wann kommst du Weihnachtsmann;1987;Deutsch
102486;Zuckowski, Rolf;Wie Schoen, Dass Du Geboren Bist;1981;Deutsch
102487;Zuckowski, Rolf;Winterkinder;1987;Deutsch
