#ID;#Singer;#Song;#Year;#Language
100395;Christoff;Deine blauen Augen;2009;Deutsch
100396;Chuba, Nina;Fieber;2022;Deutsch
100397;Chuba, Nina;Glatteis;2022;Deutsch
100398;Chuba, Nina;Ich Hass dich;2022;Deutsch
100399;Chuba, Nina;Wildberry Lillet;2022;Deutsch
100400;Cicero, Roger;Alle Moebel verrueckt;2008;Deutsch
100401;Cicero, Roger;Alles kommt zurueck;2011;Deutsch
100402;Cicero, Roger;Bin heute Abend bei Dir;2007;Deutsch
100403;Cicero, Roger;Dunkelheit zu Licht;2011;Deutsch
100404;Cicero, Roger;Frauen regiern Die Welt;2007;Deutsch
100405;Cicero, Roger;Ich atme ein;2006;Deutsch
100406;Cicero, Roger;In diesem moment;2011;Deutsch
100407;Cicero, Roger;Kein Mann fuer eine Frau;2006;Deutsch
100408;Cicero, Roger;Kompromisse;2007;Deutsch
100409;Cicero, Roger;Murphys Gesetz;2006;Deutsch
100410;Cicero, Roger;Nicht artgerecht;2006;Deutsch
100411;Cicero, Roger;Tabu;2009;Deutsch
100412;Cicero, Roger;Wenn es Morgen schon zu Ende waer;2014;Deutsch
100413;Cicero, Roger;Wenn sie dich fragt;2006;Deutsch
100414;Cicero, Roger;Wovon traeumst du nachts?;2007;Deutsch
100415;Cicero, Roger;Zieh die Schuh aus;2006;Deutsch
100416;Cindy und Bert;Aber am abend da spielt der zigeuner;1974;Deutsch
100417;Cindy und Bert;Immer Wieder Sonntags;1973;Deutsch
100418;Cindy und Bert;Spaniens Gitarren;1974;Deutsch
100419;City;Am fenster;1977;Deutsch
100420;Clowns Und Helden;Ich Liebe Dich;1986;Deutsch
100421;Clueso;Flugmodus;2020;Deutsch
100422;Clueso;Gewinner;2009;Deutsch
100423;Cluever, Bernd;Der Junge mit der Mundharmonika;1973;Deutsch
100424;Cluever, Bernd;Der kleine Prinz (Ein Engel der Sehnsucht heisst);1973;Deutsch
100425;Cluever, Bernd;Schau mal herein;1978;Deutsch
100426;Cluever, Bernd;Wenn ich dich dann in die Arme nehm;1995;Deutsch
100427;Colow, Josh;Cordula Gruen;2018;Deutsch
100428;Comedian Harmonists;Mein kleiner gruener Kaktus;1934;Deutsch
